,Locationabbr,QuestionID,RESPONSEID,mean_and_cl,param_list,trend_class
1680,36420,DIABETE3,RESP046,"[[9.98, 10.61, 9.57, 10.65, 10.65, 10.83, 12.09], [8.65, 9.22, 8.39, 9.34, 9.16, 9.28, 10.48]]","[0.08630315567560756, -347.355693434212, 349522.14839296596, 2011, 2017, 10.25313075928716, 11.89363652211614, -0.24440130691840523, 0.7912365611888958]",--
1681,36420,DRNKANY5,RESP046,"[[50.89, 48.43, 47.76, 43.18, 46.36, 43.76, 47.79], [48.17, 45.86, 45.25, 40.61, 43.03, 40.66, 44.85]]","[0.43581776049310816, -1756.1787329309052, 1769226.8953659786, 2011, 2017, 51.220825077267364, 46.9920630895067, -3.319700227624253, 1.910112898293164]",+-
1682,36420,_HCVU651,RESP046,"[[73.58, 78.69, 76.07, 81.66, 84.33, 80.29, 80.74], [70.68, 76.26, 73.42, 79.25, 81.27, 77.23, 77.78]]","[-0.4538763528022587, 1829.405720134435, -1843330.5192334412, 2011, 2017, 73.49418588425033, 80.6448121657595, 3.9150291637504324, -1.5314870698766754]",+-
1683,36420,_RFHLTH,RESP061,"[[82.32, 81.96, 82.65, 83.02, 82.16, 82.19, 80.75], [80.42, 80.1, 80.93, 81.24, 79.77, 79.99, 78.57]]","[-0.13105535865473397, 527.717852653192, -531154.8683333035, 2011, 2017, 82.00525412429124, 80.96646207582671, 0.6132001438520547, -0.9594641600048135]",--
1684,36420,_RFHYPE5,RESP046,"[[33.64, nan, 34.7, nan, 31.75, nan, 34.73], [31.27, nan, 32.5, nan, 29.01, nan, 32.24]]","[0, 0.011664382594447846, 10.050585312839019, 2011, 2017, 33.50765871027364, 33.577645005840324, 0.011664382594447846, 0.011664382594447846]",0-
1685,36420,_RFSMOK3,RESP046,"[[25.23, 20.4, 21.17, 18.62, 19.08, 17.51, 17.13], [22.78, 18.34, 19.01, 16.54, 16.14, 14.96, 14.93]]","[0.18396128432335518, -742.1642531141968, 748555.0685470079, 2011, 2017, 24.448653409606777, 17.43945425131824, -2.2719675656621803, -0.06443215378192235]",+-
1686,36420,_TOTINDA,RESP046,"[[69.23, 74.16, 68.66, 74.56, 70.55, 73.59, 71.9], [66.72, 71.98, 66.31, 72.4, 67.51, 71.06, 69.35]]","[0, 0.3368206796433969, -606.8207845566861, 2011, 2017, 70.525602206185, 72.5465262840454, 0.3368206796433969, 0.3368206796433969]",0+
1687,36500,BLOODCHO,RESP046,"[[75.25, nan, nan, nan, nan, nan, nan], [68.68, nan, nan, nan, nan, nan, nan]]","[0, 0, 75.25, 2011, 2011, 75.25, 75.25, 0, 0]",00
1688,36500,Custom_8,Custom_8,"[[54.338870431893696, nan, nan, nan, nan, nan, nan], [44.08554074034646, nan, nan, nan, nan, nan, nan]]","[0, 0, 54.338870431893696, 2011, 2011, 54.338870431893696, 54.338870431893696, 0, 0]",00
1689,36500,Custom_9,Custom_9,"[[63.18000000000001, 63.08, nan, nan, nan, nan, nan], [49.04285389479193, 51.00965203484174, nan, nan, nan, nan, nan]]","[0, 0, 63.13, 2011, 2012, 63.13, 63.13, 0, 0]",00
1690,36500,DIABETE3,RESP046,"[[9.07, 13.7, nan, nan, nan, nan, nan], [5.82, 9.56, nan, nan, nan, nan, nan]]","[0, 4.63, -9301.859999999997, 2011, 2012, 9.070000000003347, 13.700000000002547, 4.63, 4.63]",0-
1691,36500,DRNKANY5,RESP046,"[[55.64, 61.16, nan, nan, nan, nan, nan], [49.0, 55.48, nan, nan, nan, nan, nan]]","[0, 5.519999999999995, -11045.07999999999, 2011, 2012, 55.63999999999942, 61.159999999999854, 5.519999999999995, 5.519999999999995]",0-
1692,36500,_HCVU651,RESP046,"[[81.23, 85.62, nan, nan, nan, nan, nan], [74.23, 80.72, nan, nan, nan, nan, nan]]","[0, 4.39, -8747.060000000001, 2011, 2012, 81.22999999999774, 85.61999999999716, 4.39, 4.39]",0+
1693,36500,_RFHLTH,RESP061,"[[81.65, 81.14, nan, nan, nan, nan, nan], [76.32, 76.49, nan, nan, nan, nan, nan]]","[0, -0.5100000000000051, 1107.2600000000102, 2011, 2012, 81.64999999999986, 81.13999999999987, -0.5100000000000051, -0.5100000000000051]",0-
1694,36500,_RFHYPE5,RESP046,"[[34.58, nan, nan, nan, nan, nan, nan], [28.29, nan, nan, nan, nan, nan, nan]]","[0, 0, 34.58, 2011, 2011, 34.58, 34.58, 0, 0]",00
1695,36500,_RFSMOK3,RESP046,"[[18.31, 23.27, nan, nan, nan, nan, nan], [12.21, 17.68, nan, nan, nan, nan, nan]]","[0, 4.960000000000001, -9956.250000000002, 2011, 2012, 18.30999999999949, 23.270000000000437, 4.960000000000001, 4.960000000000001]",0-
